ID;Descrição da Imagem;arquivo;Conjunto Som Associado
119;GeometricosCL-Quadrado-Pequeno-BordaGrossa-Vermelho;GeometricosCL/Quadrado-P-BG-Vermelho.png;1
120;GeometricosCL-Quadrado-Pequeno-BordaPreenchida-Vermelho;GeometricosCL/Quadrado-P-BP-Vermelho.png;1
121;GeometricosCL-Quadrado-Medio-BordaFina-Vermelho;GeometricosCL/Quadrado-M-BF-Vermelho.png;1
122;GeometricosCL-Quadrado-Medio-BordaGrossa-Vermelho;GeometricosCL/Quadrado-M-BG-Vermelho.png;1
123;GeometricosCL-Quadrado-Medio-BordaPreenchida-Vermelho;GeometricosCL/Quadrado-M-BP-Vermelho.png;1
124;GeometricosCL-Quadrado-Grande-BordaFina-Vermelho;GeometricosCL/Quadrado-G-BF-Vermelho.png;1
125;GeometricosCL-Quadrado-Grande-BordaGrossa-Vermelho;GeometricosCL/Quadrado-G-BG-Vermelho.png;1
126;GeometricosCL-Quadrado-Grande-BordaPreenchida-Vermelho;GeometricosCL/Quadrado-G-BP-Vermelho.png;1
127;GeometricosCL-Triangulo-Pequeno-BordaFina-Vermelho;GeometricosCL/Triangulo-P-BF-Vermelho.png;1
128;GeometricosCL-Triangulo-Pequeno-BordaGrossa-Vermelho;GeometricosCL/Triangulo-P-BG-Vermelho.png;1
129;GeometricosCL-Triangulo-Pequeno-BordaPreenchida-Vermelho;GeometricosCL/Triangulo-P-BP-Vermelho.png;1
130;GeometricosCL-Triangulo-Medio-BordaFina-Vermelho;GeometricosCL/Triangulo-M-BF-Vermelho.png;1
131;GeometricosCL-Triangulo-Medio-BordaGrossa-Vermelho;GeometricosCL/Triangulo-M-BG-Vermelho.png;1
132;GeometricosCL-Triangulo-Medio-BordaPreenchida-Vermelho;GeometricosCL/Triangulo-M-BP-Vermelho.png;1
133;GeometricosCL-Triangulo-Grande-BordaFina-Vermelho;GeometricosCL/Triangulo-G-BF-Vermelho.png;1
134;GeometricosCL-Triangulo-Grande-BordaGrossa-Vermelho;GeometricosCL/Triangulo-G-BG-Vermelho.png;1
135;GeometricosCL-Triangulo-Grande-BordaPreenchida-Vermelho;GeometricosCL/Triangulo-G-BP-Vermelho.png;1
136;GeometricosCL-Retangulo-Pequeno-BordaFina-Vermelho;GeometricosCL/Retangulo-P-BF-Vermelho.png;1
137;GeometricosCL-Retangulo-Pequeno-BordaGrossa-Vermelho;GeometricosCL/Retangulo-P-BG-Vermelho.png;1
138;GeometricosCL-Retangulo-Pequeno-BordaPreenchida-Vermelho;GeometricosCL/Retangulo-P-BP-Vermelho.png;1
139;GeometricosCL-Retangulo-Medio-BordaFina-Vermelho;GeometricosCL/Retangulo-M-BF-Vermelho.png;1
140;GeometricosCL-Retangulo-Medio-BordaGrossa-Vermelho;GeometricosCL/Retangulo-M-BG-Vermelho.png;1
141;GeometricosCL-Retangulo-Medio-BordaPreenchida-Vermelho;GeometricosCL/Retangulo-M-BP-Vermelho.png;1
142;GeometricosCL-Retangulo-Grande-BordaFina-Vermelho;GeometricosCL/Retangulo-G-BF-Vermelho.png;1
143;GeometricosCL-Retangulo-Grande-BordaGrossa-Vermelho;GeometricosCL/Retangulo-G-BG-Vermelho.png;1
144;GeometricosCL-Retangulo-Grande-BordaPreenchida-Vermelho;GeometricosCL/Retangulo-G-BP-Vermelho.png;1
145;GeoNumericosPB-Uma-Maca-Unico-BordaFina-Preto;GeoNumericosPB/UmaMaca-U-BF-Preto.png;1
146;GeoNumericosPB-Uma-Maca-Unico-BordaGrossa-Preto;GeoNumericosPB/UmaMaca-U-BG-Preto.png;1
147;GeoNumericosPB-Uma-Maca-Unico-BordaPreenchida-Preto;GeoNumericosPB/UmaMaca-U-BP-Preto.png;1
148;GeoNumericosPB-Duas-Macas-Unico-BordaFina-Preto;GeoNumericosPB/DuasMacas-U-BF-Preto.png;1
149;GeoNumericosPB-Duas-Macas-Unico-BordaGrossa-Preto;GeoNumericosPB/DuasMacas-U-BG-Preto.png;1
150;GeoNumericosPB-Duas-Macas-Unico-BordaPreenchida-Preto;GeoNumericosPB/DuasMacas-U-BP-Preto.png;1
151;GeoNumericosPB-Tres-Macas-Unico-BordaFina-Preto;GeoNumericosPB/TresMacas-U-BF-Preto.png;1
152;GeoNumericosPB-Tres-Macas-Unico-BordaGrossa-Preto;GeoNumericosPB/TresMacas-U-BG-Preto.png;1
153;GeoNumericosPB-Tres-Macas-Unico-BordaPreenchida-Preto;GeoNumericosPB/TresMacas-U-BP-Preto.png;1
154;GeoNumericosPB-Quatro-Macas-Unico-BordaFina-Preto;GeoNumericosPB/QuatroMacas-U-BF-Preto.png;1
155;GeoNumericosPB-Quatro-Macas-Unico-BordaGrossa-Preto;GeoNumericosPB/QuatroMacas-U-BG-Preto.png;1
156;GeoNumericosPB-Quatro-Macas-Unico-BordaPreenchida-Preto;GeoNumericosPB/QuatroMacas-U-BP-Preto.png;1
157;GeoNumericosPB-Cinco-Macas-Unico-BordaFina-Preto;GeoNumericosPB/CincoMacas-U-BF-Preto.png;1
158;GeoNumericosPB-Cinco-Macas-Unico-BordaGrossa-Preto;GeoNumericosPB/CincoMacas-U-BG-Preto.png;1
159;GeoNumericosPB-Cinco-Macas-Unico-BordaPreenchida-Preto;GeoNumericosPB/CincoMacas-U-BP-Preto.png;1
160;GeoNumericosPB-Seis-Macas-Unico-BordaFina-Preto;GeoNumericosPB/SeisMacas-U-BF-Preto.png;1
161;GeoNumericosPB-Seis-Macas-Unico-BordaGrossa-Preto;GeoNumericosPB/SeisMacas-U-BG-Preto.png;1
162;GeoNumericosPB-Seis-Macas-Unico-BordaPreenchida-Preto;GeoNumericosPB/SeisMacas-U-BP-Preto.png;1
163;GeoNumericosPB-Um-Urso-Unico-BordaFina-Preto;GeoNumericosPB/UmUrso-U-BF-Preto.png;1
164;GeoNumericosPB-Um-Urso-Unico-BordaGrossa-Preto;GeoNumericosPB/UmUrso-U-BG-Preto.png;1
165;GeoNumericosPB-Um-Urso-Unico-BordaPreenchida-Preto;GeoNumericosPB/UmUrso-U-BP-Preto.png;1
166;GeoNumericosPB-Dois-Ursos-Unico-BordaFina-Preto;GeoNumericosPB/DoisUrsos-U-BF-Preto.png;1
167;GeoNumericosPB-Dois-Ursos-Unico-BordaGrossa-Preto;GeoNumericosPB/DoisUrsos-U-BG-Preto.png;1
168;GeoNumericosPB-Dois-Ursos-Unico-BordaPreenchida-Preto;GeoNumericosPB/DoisUrsos-U-BP-Preto.png;1
169;GeoNumericosPB-Tres-Ursos-Unico-BordaFina-Preto;GeoNumericosPB/TresUrsos-U-BF-Preto.png;1
170;GeoNumericosPB-Tres-Ursos-Unico-BordaGrossa-Preto;GeoNumericosPB/TresUrsos-U-BG-Preto.png;1
171;GeoNumericosPB-Tres-Ursos-Unico-BordaPreenchida-Preto;GeoNumericosPB/TresUrsos-U-BP-Preto.png;1
172;GeoNumericosPB-Quatro-Ursos-Unico-BordaFina-Preto;GeoNumericosPB/QuatroUrsos-U-BF-Preto.png;1
173;GeoNumericosPB-Quatro-Ursos-Unico-BordaGrossa-Preto;GeoNumericosPB/QuatroUrsos-U-BG-Preto.png;1
174;GeoNumericosPB-Quatro-Ursos-Unico-BordaPreenchida-Preto;GeoNumericosPB/QuatroUrsos-U-BP-Preto.png;1
175;GeoNumericosPB-Cinco-Ursos-Unico-BordaFina-Preto;GeoNumericosPB/CincoUrsos-U-BF-Preto.png;1
176;GeoNumericosPB-Cinco-Ursos-Unico-BordaGrossa-Preto;GeoNumericosPB/CincoUrsos-U-BG-Preto.png;1
177;GeoNumericosPB-Cinco-Ursos-Unico-BordaPreenchida-Preto;GeoNumericosPB/CincoUrsos-U-BP-Preto.png;1
178;GeoNumericosPB-Seis-Ursos-Unico-BordaFina-Preto;GeoNumericosPB/SeisUrsos-U-BF-Preto.png;1
179;GeoNumericosPB-Seis-Ursos-Unico-BordaGrossa-Preto;GeoNumericosPB/SeisUrsos-U-BG-Preto.png;1
180;GeoNumericosPB-Seis-Ursos-Unico-BordaPreenchida-Preto;GeoNumericosPB/SeisUrsos-U-BP-Preto.png;1
181;GeoNumericosPB-Um-Lapis-Unico-BordaFina-Preto;GeoNumericosPB/UmLapis-U-BF-Preto.png;1
182;GeoNumericosPB-Um-Lapis-Unico-BordaGrossa-Preto;GeoNumericosPB/UmLapis-U-BG-Preto.png;1
183;GeoNumericosPB-Um-Lapis-Unico-BordaPreenchida-Preto;GeoNumericosPB/UmLapis-U-BP-Preto.png;1
184;GeoNumericosPB-Dois-Lapis-Unico-BordaFina-Preto;GeoNumericosPB/DoisLapis-U-BF-Preto.png;1
185;GeoNumericosPB-Dois-Lapis-Unico-BordaGrossa-Preto;GeoNumericosPB/DoisLapis-U-BG-Preto.png;1
186;GeoNumericosPB-Dois-Lapis-Unico-BordaPreenchida-Preto;GeoNumericosPB/DoisLapis-U-BP-Preto.png;1
187;GeoNumericosPB-Tres-Lapis-Unico-BordaFina-Preto;GeoNumericosPB/TresLapis-U-BF-Preto.png;1
188;GeoNumericosPB-Tres-Lapis-Unico-BordaGrossa-Preto;GeoNumericosPB/TresLapis-U-BG-Preto.png;1
189;GeoNumericosPB-Tres-Lapis-Unico-BordaPreenchida-Preto;GeoNumericosPB/TresLapis-U-BP-Preto.png;1
190;GeoNumericosPB-Quatro-Lapis-Unico-BordaFina-Preto;GeoNumericosPB/QuatroLapis-U-BF-Preto.png;1
191;GeoNumericosPB-Quatro-Lapis-Unico-BordaGrossa-Preto;GeoNumericosPB/QuatroLapis-U-BG-Preto.png;1
192;GeoNumericosPB-Quatro-Lapis-Unico-BordaPreenchida-Preto;GeoNumericosPB/QuatroLapis-U-BP-Preto.png;1
193;GeoNumericosPB-Cinco-Lapis-Unico-BordaFina-Preto;GeoNumericosPB/CincoLapis-U-BF-Preto.png;1
194;GeoNumericosPB-Cinco-Lapis-Unico-BordaGrossa-Preto;GeoNumericosPB/CincoLapis-U-BG-Preto.png;1
195;GeoNumericosPB-Cinco-Lapis-Unico-BordaPreenchida-Preto;GeoNumericosPB/CincoLapis-U-BP-Preto.png;1
196;GeoNumericosPB-Seis-Lapis-Unico-BordaFina-Preto;GeoNumericosPB/SeisLapis-U-BF-Preto.png;1
197;GeoNumericosPB-Seis-Lapis-Unico-BordaGrossa-Preto;GeoNumericosPB/SeisLapis-U-BG-Preto.png;1
198;GeoNumericosPB-Seis-Lapis-Unico-BordaPreenchida-Preto;GeoNumericosPB/SeisLapis-U-BP-Preto.png;1
199;GeoNumericosPB-Cinco-Dado-Com-Numero-Unico-BordaFina-Preto;GeoNumericosPB/CincoDadoComNumero-U-BF-Preto.png;1
200;GeoNumericosPB-Cinco-Dado-Com-Numero-Unico-BordaGrossa-Preto;GeoNumericosPB/CincoDadoComNumero-U-BG-Preto.png;1
201;GeoNumericosPB-Cinco-Dado-Com-Numero-Unico-BordaPreenchida-Preto;GeoNumericosPB/CincoDadoComNumero-U-BP-Preto.png;1
202;GeoNumericosPB-Seis-Dado-Com-Numero-Unico-BordaFina-Preto;GeoNumericosPB/SeisDadoComNumero-U-BF-Preto.png;1
203;GeoNumericosPB-Seis-Dado-Com-Numero-Unico-BordaGrossa-Preto;GeoNumericosPB/SeisDadoComNumero-U-BG-Preto.png;1
204;GeoNumericosPB-Seis-Dado-Com-Numero-Unico-BordaPreenchida-Preto;GeoNumericosPB/SeisDadoComNumero-U-BP-Preto.png;1
205;GeoNumericosPB-Sete-Dado-Com-Numero-Unico-BordaFina-Preto;GeoNumericosPB/SeteDadoComNumero-U-BF-Preto.png;1
206;GeoNumericosPB-Sete-Dado-Com-Numero-Unico-BordaGrossa-Preto;GeoNumericosPB/SeteDadoComNumero-U-BG-Preto.png;1
207;GeoNumericosPB-Sete-Dado-Com-Numero-Unico-BordaPreenchida-Preto;GeoNumericosPB/SeteDadoComNumero-U-BP-Preto.png;1
208;GeoNumericosPB-Oito-Dado-Com-Numero-Unico-BordaFina-Preto;GeoNumericosPB/OitoDadoComNumero-U-BF-Preto.png;1
209;GeoNumericosPB-Oito-Dado-Com-Numero-Unico-BordaGrossa-Preto;GeoNumericosPB/OitoDadoComNumero-U-BG-Preto.png;1
210;GeoNumericosPB-Oito-Dado-Com-Numero-Unico-BordaPreenchida-Preto;GeoNumericosPB/OitoDadoComNumero-U-BP-Preto.png;1
211;GeoNumericosPB-Nove-Dado-Com-Numero-Unico-BordaFina-Preto;GeoNumericosPB/NoveDadoComNumero-U-BF-Preto.png;1
212;GeoNumericosPB-Nove-Dado-Com-Numero-Unico-BordaGrossa-Preto;GeoNumericosPB/NoveDadoComNumero-U-BG-Preto.png;1
213;GeoNumericosPB-Nove-Dado-Com-Numero-Unico-BordaPreenchida-Preto;GeoNumericosPB/NoveDadoComNumero-U-BP-Preto.png;1
214;GeoNumericosPB-Dez-Dado-Com-Numero-Unico-BordaFina-Preto;GeoNumericosPB/DezDadoComNumero-U-BF-Preto.png;1
215;GeoNumericosPB-Dez-Dado-Com-Numero-Unico-BordaGrossa-Preto;GeoNumericosPB/DezDadoComNumero-U-BG-Preto.png;1
216;GeoNumericosPB-Dez-Dado-Com-Numero-Unico-BordaPreenchida-Preto;GeoNumericosPB/DezDadoComNumero-U-BP-Preto.png;1
217;GeoNumericosPB-Numero-Um-Com-Domino-Unico-BordaFina-Preto;GeoNumericosPB/NumeroUmComDomino-U-BF-Preto.png;1
218;GeoNumericosPB-Numero-Um-Com-Domino-Unico-BordaGrossa-Preto;GeoNumericosPB/NumeroUmComDomino-U-BG-Preto.png;1
