# Sessao;Data de Uso;Hora Inicio;Jogo;Fase;Nivel;Linha Escolhida;Imagem Objetivo;Imagem Tocada;Tempo de Toque;Acao;Pontos Motor;Pontos Cognitivo
5;21/09/2018;14:54:04;Sequenciacao;1;1;44;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;1;Acertou;4;5
5;21/09/2018;14:54:09;Sequenciacao;1;1;44;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;1;Acertou;4;5
5;21/09/2018;14:54:19;Sequenciacao;1;1;43;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;1;Acertou;4;5
5;21/09/2018;14:54:23;Sequenciacao;1;1;43;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;1;Acertou;4;5
5;21/09/2018;14:54:29;Sequenciacao;1;1;43;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;1;Acertou;4;5
5;21/09/2018;14:55:13;Classificacao;1;1;3;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;2;Acertou;3;5
5;21/09/2018;14:55:17;Classificacao;1;1;3;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;1;Acertou;4;5
5;21/09/2018;14:55:23;Classificacao;1;1;3;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;1;Acertou;4;5
5;21/09/2018;14:55:32;Classificacao;1;1;1;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;0;Acertou;5;5
5;21/09/2018;14:55:36;Classificacao;1;1;1;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;0;Acertou;5;5
5;21/09/2018;14:55:42;Classificacao;1;1;1;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;1;Acertou;4;5
5;21/09/2018;14:55:51;Classificacao;1;1;2;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;1;Acertou;4;5
5;21/09/2018;14:55:56;Classificacao;1;1;2;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;1;Acertou;4;5
5;21/09/2018;14:56:02;Classificacao;1;1;2;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;1;Acertou;4;5
5;21/09/2018;14:56:11;Classificacao;1;1;4;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;1;Acertou;4;5
5;21/09/2018;14:56:17;Classificacao;1;1;4;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;1;Acertou;4;5
5;21/09/2018;14:56:23;Classificacao;1;1;4;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;1;Acertou;4;5
5;21/09/2018;14:56:34;Classificacao;1;2;7;GeometricosPB-Triangulo-Pequeno-BordaFina-Preto;GeometricosPB-Triangulo-Pequeno-BordaFina-Preto;1;Acertou;4;5
6;21/09/2018;15:20:06;Classificacao;1;2;8;GeometricosPB-Retangulo-Pequeno-BordaFina-Preto;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;1;Errou;4;0
6;21/09/2018;15:20:11;Classificacao;1;2;8;GeometricosPB-Retangulo-Pequeno-BordaFina-Preto;GeometricosPB-Circulo-Pequeno-BordaFina-Preto;1;Errou;4;0
6;21/09/2018;15:20:16;Classificacao;1;2;8;GeometricosPB-Retangulo-Pequeno-BordaFina-Preto;GeometricosPB-Retangulo-Pequeno-BordaFina-Preto;1;Acertou;4;5
6;21/09/2018;15:20:21;Classificacao;1;2;8;GeometricosPB-Retangulo-Pequeno-BordaFina-Preto;GeometricosPB-Retangulo-Pequeno-BordaFina-Preto;1;Acertou;4;5
6;21/09/2018;15:20:25;Classificacao;1;2;8;GeometricosPB-Retangulo-Pequeno-BordaFina-Preto;GeometricosPB-Retangulo-Pequeno-BordaFina-Preto;1;Acertou;4;5
6;21/09/2018;15:20:35;Classificacao;1;2;6;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;1;Acertou;4;5
6;21/09/2018;15:20:40;Classificacao;1;2;6;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;0;Acertou;5;5
6;21/09/2018;15:20:45;Classificacao;1;2;6;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;1;Acertou;4;5
6;21/09/2018;15:20:53;Classificacao;1;2;5;GeometricosPB-Circulo-Pequeno-BordaFina-Preto;GeometricosPB-Circulo-Pequeno-BordaFina-Preto;0;Acertou;5;5
6;21/09/2018;15:20:58;Classificacao;1;2;5;GeometricosPB-Circulo-Pequeno-BordaFina-Preto;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;1;Errou;4;0
6;21/09/2018;15:21:03;Classificacao;1;2;5;GeometricosPB-Circulo-Pequeno-BordaFina-Preto;GeometricosPB-Circulo-Pequeno-BordaFina-Preto;1;Acertou;4;5
6;21/09/2018;15:21:08;Classificacao;1;2;5;GeometricosPB-Circulo-Pequeno-BordaFina-Preto;GeometricosPB-Circulo-Pequeno-BordaFina-Preto;0;Acertou;5;5
6;21/09/2018;15:21:16;Classificacao;1;2;7;GeometricosPB-Triangulo-Pequeno-BordaFina-Preto;GeometricosPB-Triangulo-Pequeno-BordaFina-Preto;1;Acertou;4;5
6;21/09/2018;15:21:22;Classificacao;1;2;7;GeometricosPB-Triangulo-Pequeno-BordaFina-Preto;GeometricosPB-Triangulo-Pequeno-BordaFina-Preto;1;Acertou;4;5
6;21/09/2018;15:21:27;Classificacao;1;2;7;GeometricosPB-Triangulo-Pequeno-BordaFina-Preto;GeometricosPB-Triangulo-Pequeno-BordaFina-Preto;1;Acertou;4;5
7;21/09/2018;15:24:26;Sequenciacao;1;2;48;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;1;Acertou;4;5
7;21/09/2018;15:24:31;Sequenciacao;1;2;48;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;1;Acertou;4;5
7;21/09/2018;15:24:36;Sequenciacao;1;2;48;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;1;Acertou;4;5
7;21/09/2018;15:27:53;Sequenciacao;1;1;43;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;0;Acertou;5;5
7;21/09/2018;15:27:57;Sequenciacao;1;1;43;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;0;Acertou;5;5
7;21/09/2018;15:28:02;Sequenciacao;1;1;43;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;1;Acertou;4;5
7;21/09/2018;15:28:13;Sequenciacao;1;1;45;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;2;Acertou;3;5
7;21/09/2018;15:28:20;Sequenciacao;1;1;45;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;2;Errou;3;0
7;21/09/2018;15:28:26;Sequenciacao;1;1;45;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;2;Acertou;3;5
7;21/09/2018;15:28:31;Sequenciacao;1;1;45;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;0;Acertou;5;5
7;21/09/2018;15:28:40;Sequenciacao;1;1;44;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;1;Acertou;4;5
7;21/09/2018;15:28:45;Sequenciacao;1;1;44;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;1;Acertou;4;5
7;21/09/2018;15:28:50;Sequenciacao;1;1;44;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;1;Acertou;4;5
7;21/09/2018;15:29:00;Sequenciacao;1;1;46;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;1;Acertou;4;5
7;21/09/2018;15:29:05;Sequenciacao;1;1;46;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;1;Acertou;4;5
7;21/09/2018;15:29:12;Sequenciacao;1;1;46;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;2;Acertou;3;5
7;21/09/2018;15:29:19;Sequenciacao;1;1;46;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;1;Acertou;4;5
7;21/09/2018;15:29:24;Sequenciacao;1;1;46;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;2;Acertou;3;5
7;21/09/2018;15:29:29;Sequenciacao;1;1;46;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;1;Errou;4;0
8;24/09/2018;17:23:22;Sequenciacao;1;1;46;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;1;Acertou;4;5
9;24/09/2018;17:41:44;Sequenciacao;1;1;45;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;1;Errou;4;0
10;24/09/2018;18:03:44;Sequenciacao;1;1;13;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;1;Acertou;4;5
11;24/09/2018;18:04:57;Sequenciacao;1;1;16;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;2;Acertou;3;5
11;24/09/2018;18:05:02;Sequenciacao;1;1;16;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;1;Acertou;4;5
12;24/09/2018;18:05:58;Sequenciacao;1;1;15;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;1;Acertou;4;5
12;24/09/2018;18:06:03;Sequenciacao;1;1;15;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;1;Errou;4;0
13;24/09/2018;18:07:32;Sequenciacao;1;1;14;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;2;Errou;3;0
13;24/09/2018;18:07:37;Sequenciacao;1;1;14;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;1;Acertou;4;5
14;24/09/2018;18:10:14;Sequenciacao;1;1;15;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;1;Acertou;4;5
14;24/09/2018;18:10:19;Sequenciacao;1;1;15;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;1;Acertou;4;5
14;24/09/2018;18:10:24;Sequenciacao;1;1;15;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;1;Acertou;4;5
15;24/09/2018;18:20:47;Sequenciacao;1;1;13;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;2;Errou;3;0
15;24/09/2018;18:20:53;Sequenciacao;1;1;13;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;1;Errou;4;0
15;24/09/2018;18:20:58;Sequenciacao;1;1;13;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;1;Acertou;4;5
16;24/09/2018;18:24:19;Sequenciacao;1;1;15;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Pequeno-BordaGrossa-Preto;4;Errou;1;0
16;24/09/2018;18:24:24;Sequenciacao;1;1;15;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Pequeno-BordaPreenchida-Preto;1;Errou;4;0
16;24/09/2018;18:24:30;Sequenciacao;1;1;15;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;1;Acertou;4;5
16;24/09/2018;18:24:35;Sequenciacao;1;1;15;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;1;Acertou;4;5
16;24/09/2018;18:24:40;Sequenciacao;1;1;15;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;1;Acertou;4;5
16;24/09/2018;18:24:48;Sequenciacao;1;1;16;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;1;Acertou;4;5
16;24/09/2018;18:24:53;Sequenciacao;1;1;16;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;0;Acertou;5;5
16;24/09/2018;18:24:57;Sequenciacao;1;1;16;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;1;Acertou;4;5
16;24/09/2018;18:25:07;Sequenciacao;1;1;14;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;1;Acertou;4;5
16;24/09/2018;18:25:12;Sequenciacao;1;1;14;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;1;Acertou;4;5
16;24/09/2018;18:25:18;Sequenciacao;1;1;14;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;2;Acertou;3;5
16;24/09/2018;18:25:28;Sequenciacao;1;1;13;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;1;Acertou;4;5
16;24/09/2018;18:25:32;Sequenciacao;1;1;13;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;1;Acertou;4;5
16;24/09/2018;18:25:38;Sequenciacao;1;1;13;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;1;Acertou;4;5
16;24/09/2018;18:25:44;Sequenciacao;1;1;13;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;1;Acertou;4;5
16;24/09/2018;18:25:48;Sequenciacao;1;1;13;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Pequeno-BordaGrossa-Preto;0;Errou;5;0
16;24/09/2018;18:25:52;Sequenciacao;1;1;13;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;0;Acertou;5;5
